Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2015-04-07,99.73,100.26,99.47,99.61,1996819.0,0.0,1.0,46.872476041376835,47.12157272544311,46.7502776680613,46.81607679215428,3993638.0
2015-04-06,98.75,100.63,98.55,99.73,2513707.0,0.0,1.0,46.41188217272598,47.29547041054598,46.31788342402172,46.872476041376835,5027414.0
2015-04-02,100.04,100.32,99.3906,99.66,1920221.0,0.0,1.0,47.01817410186843,47.149772350054384,46.712960164825716,46.83957647933034,3840442.0
2015-04-01,100.0,100.28,98.34,99.55,3302678.0,0.0,1.0,46.999374352127575,47.130972600313534,46.21918473788226,46.787877167543,6605356.0
2015-03-31,100.88,101.84,100.29,100.33,3154617.0,0.0,1.0,47.412968846426295,47.864162840206724,47.135672537748746,47.1544722874896,6309234.0
2015-03-30,101.23,101.55,100.54,100.89,2717129.0,0.0,1.0,47.57746665665875,47.72786465458555,47.25317097362907,47.417668783861515,5434258.0
2015-03-27,99.12,100.18,99.12,99.88,2201650.0,0.0,1.0,46.585779857828854,47.08397322596141,46.585779857828854,46.942975102905024,4403300.0
2015-03-26,98.34,100.09,97.67,99.33,4739846.0,0.0,1.0,46.21918473788226,47.041673789044495,45.904288929723,46.68447854396832,9479692.0
2015-03-25,101.0,101.18,98.94,98.99,4066647.0,0.0,1.0,47.46936809564885,47.55396696948269,46.50118098399502,46.52468067117108,8133294.0
2015-03-24,101.05,101.66,100.6,100.65,3798977.0,0.0,1.0,47.492867782824916,47.77956396637289,47.281370598240336,47.304870285416406,7597954.0
2015-03-23,101.55,102.6,101.2,101.46,5235934.0,0.0,1.0,47.72786465458555,48.221358085282894,47.56336684435311,47.68556521766864,10471868.0
2015-03-20,102.63,103.79,101.25,101.98,14889910.0,0.0,1.0,48.23545789758853,48.78065064007321,47.58686653152917,47.92996196429971,29779820.0
2015-03-19,97.81,98.62,97.21,98.32,6712390.0,0.0,1.0,45.970088053815985,46.35078298606822,45.688091807703216,46.209784863011826,13424780.0
2015-03-18,96.54,97.87,95.61,97.51,4426465.0,0.0,1.0,45.37319599954397,45.99828767842726,44.936101818069176,45.8290899307596,8852930.0
2015-03-17,96.14,96.78,95.51,96.54,3203770.0,0.0,1.0,45.18519850213545,45.48599449798907,44.88910244371705,45.37319599954397,6407540.0
2015-03-16,96.2,96.8,95.93,96.44,4248144.0,0.0,1.0,45.21339812674673,45.495394372859494,45.086499815995985,45.326196625191834,8496288.0
2015-03-13,97.04,97.48,95.3,95.81,3697443.0,0.0,1.0,45.6081928713046,45.81499011845396,44.79040375757758,45.030100566773434,7394886.0
2015-03-12,95.5,97.1,95.38,97.04,2904898.0,0.0,1.0,44.88440250628184,45.63639249591587,44.82800325705928,45.6081928713046,5809796.0
2015-03-11,96.38,97.08,95.18,95.34,3726346.0,0.0,1.0,45.29799700058056,45.62699262104545,44.73400450835503,44.809203507318436,7452692.0
2015-03-10,96.42,96.9701,96.25,96.51,3547993.0,0.0,1.0,45.31679675032141,45.57534030863246,45.236897813922795,45.35909618723833,7095986.0
